id,objectiveId,relation,targetFramework,targetCode,targetId,reviewStatus,sourceTopicId,sourceStandardKey
https://education.asfai.org/alignments/05dd6c81-8760-5a96-b6e4-19f59f312d2a,https://education.asfai.org/objectives/bd1602ca-b011-5c38-a067-d7ad33fbe59e,relatedTo,ccss-ela,W.4.2b,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/W.4.2b,unreviewed,mt_hp2qJ-QRBn,ccss-ela:W.4.2b
https://education.asfai.org/alignments/05ecd306-0842-565f-b851-62f5b3f5d145,https://education.asfai.org/objectives/1c1508d7-d62a-5e3b-bac8-94dbded5384c,relatedTo,ccss-math,2.OA.4,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/2.OA.4,unreviewed,mt_B1zj1RwQ3a,ccss-math:2.OA.4
https://education.asfai.org/alignments/0613dd22-8ea5-521d-8434-b3abd98774e1,https://education.asfai.org/objectives/23ffdd7e-e2ce-579b-bb86-f53313347a5a,relatedTo,ngss-k5,2-PS1-1,https://education.asfai.org/frameworks/ngss-k5/versions/2013/items/2-PS1-1,unreviewed,mt_zHnOGwHIEz,ngss-k5:2-PS1-1
https://education.asfai.org/alignments/06200460-1aba-53f1-982f-066174d1d94b,https://education.asfai.org/objectives/75f80d54-4e15-53a0-a73a-ab0d1c47d69a,relatedTo,ccss-ela,RF.K.3,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/RF.K.3,unreviewed,mt__KHQttMde3,ccss-ela:RF.K.3
https://education.asfai.org/alignments/06752855-c5ee-51e9-9ded-fa72c310498f,https://education.asfai.org/objectives/90d93d3e-2f40-5136-9d6d-6172e3912732,relatedTo,uk-nc-2013,Eng_Y1_WT_07,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng_Y1_WT_07,unreviewed,mt_zBUcAPDRPM,uk-nc-2013:Eng_Y1_WT_07
https://education.asfai.org/alignments/06b6d0f8-ce97-5871-b6eb-a8832cc6f8e8,https://education.asfai.org/objectives/c951d042-beec-51bd-af73-d8d6cfd82a30,relatedTo,ccss-ela,SL.5.1.a,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/SL.5.1.a,unreviewed,mt_yrMniCJu_S,ccss-ela:SL.5.1.a
https://education.asfai.org/alignments/071f5043-aa6a-5f2f-9d56-e45142576f5b,https://education.asfai.org/objectives/e4883597-9d6a-5a48-a515-782e61fa2a1e,relatedTo,uk-nc-2013,Maths/Y1/M/7,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Maths%2FY1%2FM%2F7,unreviewed,mt_4lp_b5Pzik,uk-nc-2013:Maths/Y1/M/7
https://education.asfai.org/alignments/0720497e-497b-58c8-bec3-e5966ec1715f,https://education.asfai.org/objectives/a09f51db-95cb-5312-9577-809b4874124d,relatedTo,uk-nc-2013,KS3.Sci.Bio.Adaptation.2,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/KS3.Sci.Bio.Adaptation.2,unreviewed,mt_-r3B4FQyX3,uk-nc-2013:KS3.Sci.Bio.Adaptation.2
https://education.asfai.org/alignments/0775a4ad-e75b-55f9-9fdf-37a6f2a7cd30,https://education.asfai.org/objectives/5f18a22b-ea72-51b0-84c4-af722117cf5f,relatedTo,ccss-math,K.OA.1,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/K.OA.1,unreviewed,mt_OvyoRo47K-,ccss-math:K.OA.1
https://education.asfai.org/alignments/0788f27b-7bd5-5091-beb1-4294242b60e6,https://education.asfai.org/objectives/67dd3895-6ede-5c2d-80c9-f96b453110f5,relatedTo,ccss-ela,RF.3.4,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/RF.3.4,unreviewed,mt_V-ldQp56bF,ccss-ela:RF.3.4
https://education.asfai.org/alignments/07aae4dd-ca57-5d6e-b937-55b32018a79e,https://education.asfai.org/objectives/d922a10c-d0c9-559a-b697-f4a1371f2671,relatedTo,uk-nc-2013,Eng_App1_Sp_Y56_05,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng_App1_Sp_Y56_05,unreviewed,mt_9hBs430cU4,uk-nc-2013:Eng_App1_Sp_Y56_05
https://education.asfai.org/alignments/07dc7b0d-ff46-55ce-9ec3-ae1369193c71,https://education.asfai.org/objectives/9437180b-76b3-587e-9f69-6d9a94186c0b,relatedTo,uk-nc-2013,Maths/Y2/AS/5,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Maths%2FY2%2FAS%2F5,unreviewed,mt_I5j1ZWo2cn,uk-nc-2013:Maths/Y2/AS/5
https://education.asfai.org/alignments/08193a86-5d9f-5589-9fad-47efc66ca5d8,https://education.asfai.org/objectives/242ee901-6b99-5acc-b884-69ca270f3fc6,relatedTo,ccss-ela,L.1.1j,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/L.1.1j,unreviewed,mt_u1-UfD0rTH,ccss-ela:L.1.1j
https://education.asfai.org/alignments/081a621e-5167-5220-8485-dc01390cb717,https://education.asfai.org/objectives/94bbbd7c-596b-5e65-b557-36d59570ddf8,relatedTo,ib-pyp-pspe,PSPE-ID-LO-P2-3,https://education.asfai.org/frameworks/ib-pyp-pspe/versions/2009/items/PSPE-ID-LO-P2-3,unreviewed,mt_MOY_2Cqalz,ib-pyp-pspe:PSPE-ID-LO-P2-3
https://education.asfai.org/alignments/08364cae-d910-50f4-8bdf-c63b0109b9c3,https://education.asfai.org/objectives/34d92553-4922-59ec-8d67-f8a5d1bb77fa,relatedTo,ccss-ela,RI.5.7,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/RI.5.7,unreviewed,mt_JVVKT-_AD9,ccss-ela:RI.5.7
https://education.asfai.org/alignments/086997a4-dda2-56dd-9b8a-e2a7f709ac0a,https://education.asfai.org/objectives/cd81c595-4ee9-5754-9a58-482127c75151,relatedTo,ccss-math,6.EE.2b,https://education.asfai.org/frameworks/ccss-math/versions/2010/items/6.EE.2b,unreviewed,mt_KwdjWEmMNo,ccss-math:6.EE.2b
https://education.asfai.org/alignments/08885da2-83d3-56a9-9fd1-b26189516078,https://education.asfai.org/objectives/c2aec65b-9484-5772-b0bf-035119f54552,relatedTo,ccss-ela,W.5.1,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/W.5.1,unreviewed,mt_WKxX-b86Vr,ccss-ela:W.5.1
https://education.asfai.org/alignments/089c40f2-b9c7-5eaa-b74f-55569c248cb0,https://education.asfai.org/objectives/c3813ac5-21fb-5123-ad4d-0990f45dc044,relatedTo,ccss-ela,L.2.4a,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/L.2.4a,unreviewed,mt_6-MYToNZ39,ccss-ela:L.2.4a
https://education.asfai.org/alignments/08bb2cc3-d507-5baa-87b1-4501f1436ea5,https://education.asfai.org/objectives/d0aee177-53b1-518c-b621-3a72c6278696,relatedTo,ccss-ela,SL.5.5,https://education.asfai.org/frameworks/ccss-ela/versions/2010/items/SL.5.5,unreviewed,mt_VtqvUORa8K,ccss-ela:SL.5.5
https://education.asfai.org/alignments/08d110e3-3132-5b9c-8570-fda680aa82df,https://education.asfai.org/objectives/ba8a0925-d81b-55e6-9b70-15af416865e2,relatedTo,uk-nc-2013,Eng_LKS2_Write_Trans_Spell_6,https://education.asfai.org/frameworks/uk-nc-2013/versions/september-2013/items/Eng_LKS2_Write_Trans_Spell_6,unreviewed,mt_AhfyJoTQtY,uk-nc-2013:Eng_LKS2_Write_Trans_Spell_6
https://education.asfai.org/alignments/08d1447e-17ff-5958-b703-544c5d43175b,https://education.asfai.org/objectives/62834cf8-e720-5e7c-82ee-91f087c14632,relatedTo,ngss-k5,1-PS4-1,https://education.asfai.org/frameworks/ngss-k5/versions/2013/items/1-PS4-1,unreviewed,mt_VBl1T1sFCM,ngss-k5:1-PS4-1
