id,framework,code,sourceKey,sourceVersion,linkedObjectiveCount,textIncludedInAsfaiPackage,sourceLandingPage
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.12.3-5,c3-social-studies,D2.Civ.12.3-5,c3-social-studies:D2.Civ.12.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.12.6-8,c3-social-studies,D2.Civ.12.6-8,c3-social-studies:D2.Civ.12.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.12.9-12,c3-social-studies,D2.Civ.12.9-12,c3-social-studies:D2.Civ.12.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.12.K-2,c3-social-studies,D2.Civ.12.K-2,c3-social-studies:D2.Civ.12.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.13.3-5,c3-social-studies,D2.Civ.13.3-5,c3-social-studies:D2.Civ.13.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.13.6-8,c3-social-studies,D2.Civ.13.6-8,c3-social-studies:D2.Civ.13.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.13.9-12,c3-social-studies,D2.Civ.13.9-12,c3-social-studies:D2.Civ.13.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.14.3-5,c3-social-studies,D2.Civ.14.3-5,c3-social-studies:D2.Civ.14.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.14.6-8,c3-social-studies,D2.Civ.14.6-8,c3-social-studies:D2.Civ.14.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.14.9-12,c3-social-studies,D2.Civ.14.9-12,c3-social-studies:D2.Civ.14.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.14.K-2,c3-social-studies,D2.Civ.14.K-2,c3-social-studies:D2.Civ.14.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.2.3-5,c3-social-studies,D2.Civ.2.3-5,c3-social-studies:D2.Civ.2.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.2.6-8,c3-social-studies,D2.Civ.2.6-8,c3-social-studies:D2.Civ.2.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.2.9-12,c3-social-studies,D2.Civ.2.9-12,c3-social-studies:D2.Civ.2.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.2.K-2,c3-social-studies,D2.Civ.2.K-2,c3-social-studies:D2.Civ.2.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.3.3-5,c3-social-studies,D2.Civ.3.3-5,c3-social-studies:D2.Civ.3.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.3.6-8,c3-social-studies,D2.Civ.3.6-8,c3-social-studies:D2.Civ.3.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.3.9-12,c3-social-studies,D2.Civ.3.9-12,c3-social-studies:D2.Civ.3.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.3.K-2,c3-social-studies,D2.Civ.3.K-2,c3-social-studies:D2.Civ.3.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.4.3-5,c3-social-studies,D2.Civ.4.3-5,c3-social-studies:D2.Civ.4.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.4.6-8,c3-social-studies,D2.Civ.4.6-8,c3-social-studies:D2.Civ.4.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.4.9-12,c3-social-studies,D2.Civ.4.9-12,c3-social-studies:D2.Civ.4.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.5.3-5,c3-social-studies,D2.Civ.5.3-5,c3-social-studies:D2.Civ.5.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.5.6-8,c3-social-studies,D2.Civ.5.6-8,c3-social-studies:D2.Civ.5.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.5.9-12,c3-social-studies,D2.Civ.5.9-12,c3-social-studies:D2.Civ.5.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.5.K-2,c3-social-studies,D2.Civ.5.K-2,c3-social-studies:D2.Civ.5.K-2,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.6.3-5,c3-social-studies,D2.Civ.6.3-5,c3-social-studies:D2.Civ.6.3-5,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.6.6-8,c3-social-studies,D2.Civ.6.6-8,c3-social-studies:D2.Civ.6.6-8,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
https://education.asfai.org/frameworks/c3-social-studies/versions/2013-rev-2017/items/D2.Civ.6.9-12,c3-social-studies,D2.Civ.6.9-12,c3-social-studies:D2.Civ.6.9-12,2013 (rev. 2017),0,false,https://www.socialstudies.org/sites/default/files/c3/C3-Framework-for-Social-Studies.pdf
